"","RID","gender","age","religious_identity","caste","educ_level","employment_status","annual_household_income","marital_status","party_support","should_women_run","registered_to_vote","pol_engagement","vote_2019_national","vote_2020_delhi","country_direction","modi_approval","lib_cons_scale","most_imp_issue","support_wrb","village_res","state_res","national_res","no_res","village_res_treat","state_res_treat","national_res_treat","sc_st_res_treat","village_res_control","state_res_control","national_res_control","sc_st_res_control","news_verification","woman_false_1","woman_false_2","woman_false_3","male_false_1","male_false_2","male_false_3","male_false_4","male_true_1","male_true_2","female_true_1","female_true_2","female_true_3","Treatment","Control","response_id","caste_bin","edu","employed","household_inc","marriage","vote_2019","vote_2020","political_engagement","ideology_scale","religion","wrb"
"11","R_3g5XFxzaYAskN9c","0",34,"Hindu","Forward castes","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely conservative","Caste discrimination","Yes","Village","State","","","","","","","Yes","Yes","Yes","Yes","Yes",4,4,4,4,4,4,3,4,4,4,4,3,NA,1,"5f3bd959-2a4a-9505-204b-8b4e2e756cf3","0","1","1",3,"1",1,1,1,1,"Hindu",1
"12","R_2v7VpoouPRrOvFK","0",30,"Hindu","Forward castes","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely conservative","Caste discrimination","Yes","Village","State","National","","Yes","Yes","Yes","Yes","","","","","Yes",4,4,4,4,4,4,4,4,4,4,3,4,1,NA,"5f3bd983-f43f-93e9-043b-39e079e3d3c6","0","1","1",3,"1",1,1,1,1,"Hindu",1
"13","R_3QPnGW1QKtmWZ0O","1",31,"Hindu","Forward castes","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely conservative","Caste discrimination","Yes","Village","State","National","","Yes","Yes","Yes","Yes","","","","","Yes",3,3,4,3,3,3,3,3,3,3,3,3,1,NA,"5f3bd975-0af2-9955-6b83-5ab0cf1c9e94","0","1","1",3,"1",1,1,1,1,"Hindu",1
"14","R_6G8Rt57Z6duSmDn","1",21,"Hindu","Forward castes","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely conservative","Caste discrimination","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",3,3,3,3,3,3,3,3,3,3,3,3,NA,1,"5f3bd999-2765-b4b0-0bff-c8f9216fe990","0","1","1",3,"0",1,1,1,1,"Hindu",1
"15","R_2YDhxwqzn9b94xx","0",30,"Hindu","Forward castes","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely conservative","Caste discrimination","Yes","Village","State","National","","Yes","Yes","Yes","Yes","","","","","Yes",3,3,3,3,3,3,3,3,3,3,3,3,1,NA,"5f3bd99e-fc2f-e945-1c72-63b70f18e611","0","1","1",3,"0",1,1,1,1,"Hindu",1
"16","R_0f8F59X6VtJHp85","1",22,"Hindu","Scheduled castes","Graduate","Unemployed and looking for work","₹0 - ₹2,50,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","No","Yes","Right direction","Approve","Slightly conservative","Economic downturn","Yes","","State","","","Yes","No","No","Maybe","","","","","Yes",3,3,2,3,3,3,3,3,4,2,3,NA,1,NA,"5f3bdb85-d32a-7712-62dc-329cceeede9f","1","1","0",1,"0",0,1,0.5,3,"Hindu",1
"17","R_27WIaXfpeBZmGoy","1",30,"Hindu","Forward castes","Doctorate","Employed","More than ₹50,00,000","Currently married","Indian National Congress (INC)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Gender discrimination","Yes","","","National","","Yes","Yes","Yes","Yes","","","","","Yes",4,4,3,4,4,4,4,4,4,4,4,4,1,NA,"5f3bdb9e-70dc-4398-f87a-03877ad46337","0","1","1",8,"1",1,1,1,7,"Hindu",1
"18","R_3Jw65RQGunlu1V6","0",38,"Hindu","Scheduled castes","Graduate","Employed","₹20,00,001 - ₹30,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Disapprove","Conservative","Economic downturn","Yes","","","National","","","","","","Yes","Yes","Yes","Maybe","No",3,3,3,3,3,3,3,3,3,3,3,3,NA,1,"5f3bd93d-0f71-479b-e58c-2986a2c4dc1e","1","1","1",5,"1",1,1,1,2,"Hindu",1
"19","R_1d4cis6XVspZNR3","0",29,"Hindu","Forward castes","Post-graduate","Employed","₹10,00,001 - ₹20,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely conservative","Economic downturn","Yes","","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",1,1,2,1,4,1,4,4,4,1,1,1,NA,1,"5f3bda09-c6ac-7fea-e8a5-256eb7e32e5f","0","1","1",4,"1",1,1,1,1,"Hindu",1
"20","R_2v1u6368akmZWUq","1",30,"Hindu","Forward castes","Higher secondary/Senior secondary","Employed","₹2,50,001 - ₹5,00,000","Currently married","Indian National Congress (INC)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","","State","","","Yes","Yes","Yes","Yes","","","","","Yes",3,4,4,3,3,4,3,3,4,3,4,4,1,NA,"5f3bdbd2-9c15-60ee-ae7a-2e1063496bf7","0","0","1",2,"1",1,1,1,7,"Hindu",1
"21","R_3JI8eYJIlYd9244","0",35,"Hindu","Forward castes","Post-graduate","Employed","₹10,00,001 - ₹20,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Caste discrimination","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",4,4,4,4,4,4,4,4,4,4,4,4,NA,1,"5f3bd9d1-b015-0199-89fb-31d9483d0c03","0","1","1",4,"1",1,1,1,7,"Hindu",1
"22","R_1EbsgU0yXbPCKwO","0",38,"Hindu","Scheduled castes","Graduate","Employed","₹20,00,001 - ₹30,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Disapprove","Conservative","Economic downturn","Yes","","","National","","Yes","Yes","Yes","Yes","","","","","No",3,3,3,3,3,3,3,3,3,3,3,3,1,NA,"5f3bd955-ab26-48eb-5ac3-08791ee173ad","1","1","1",5,"1",1,1,1,2,"Hindu",1
"23","R_3jV8wLHObEBkpYx","0",21,"Hindu","Forward castes","Graduate","Student","₹5,00,001 - ₹10,00,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Approve","Liberal","Caste discrimination","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",4,2,3,3,1,3,3,3,3,3,3,3,NA,1,"5f3bdb97-4d16-e934-8333-c41d07cc6ba4","0","1","0",3,"0",1,1,1,6,"Hindu",1
"24","R_1M0VZXJ26Bi3kdn","1",29,"Hindu","Forward castes","Post-graduate","Employed","₹2,50,001 - ₹5,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Moderate; middle of the road","Caste discrimination","Yes","Village","State","","","Yes","Yes","Yes","Yes","","","","","Yes",4,4,4,3,3,3,4,4,4,4,4,3,1,NA,"5f3bdb96-f86a-05d9-66af-8631f44d5740","0","1","1",2,"1",1,1,1,4,"Hindu",1
"25","R_spsDSmIPDxDIG2t","0",25,"Hindu","Scheduled castes","Primary","Self-employed/freelance","₹2,50,001 - ₹5,00,000","Currently married","Aam Aadmi Party (AAP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Slightly liberal","Gender discrimination","Yes","Village","","","","","","","","Yes","Yes","Yes","Yes","Yes",3,2,3,2,2,4,3,4,2,4,3,3,NA,1,"5f3bdbb3-7b01-21f0-ee24-34f8c01234d2","1","0","1",2,"1",1,1,1,5,"Hindu",1
"26","R_Dv0x8maYDYT6Hu1","0",18,"Hindu","Forward castes","Middle","Student","₹5,00,001 - ₹10,00,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","No","Yes","Right direction","Approve","Conservative","Economic downturn","Yes","","","National","","Yes","Yes","Yes","Yes","","","","","Yes",2,3,2,2,2,2,3,3,2,2,2,3,1,NA,"5f3bdba0-25d5-e2fc-8b13-b7238fea4822","0","0","0",3,"0",0,1,0.5,2,"Hindu",1
"27","R_3KB1tM7mwMBMdDo","0",35,"Hindu","Forward castes","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","Village","State","National","","Yes","Yes","Yes","Yes","","","","","No",3,3,3,2,4,2,2,3,1,3,2,4,1,NA,"5f3bd9a1-bef4-6b37-b828-75b83411b87c","0","1","1",3,"1",1,1,1,7,"Hindu",1
"28","R_2YfjxqH8XoLipsg","1",43,"Hindu","Forward castes","Graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Wrong track","Approve","Extremely liberal","Military tensions","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Maybe","Yes",1,1,1,1,4,1,1,2,3,1,3,1,NA,1,"5f3bdbb2-5ab5-9606-2ebc-df5e2059d5da","0","1","1",3,"1",1,1,1,7,"Hindu",1
"29","R_3nUCP9FR8CQAgBB","1",30,"Hindu","Forward castes","Graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Caste discrimination","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",4,2,3,4,4,2,3,2,4,4,3,3,NA,1,"5f3bdbd8-9187-9186-3473-f5eb8696b7f0","0","1","1",3,"1",1,1,1,7,"Hindu",1
"30","R_DtVqozcRdNmULXH","1",28,"Hindu","Forward castes","Graduate","Employed","₹20,00,001 - ₹30,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Liberal","Gender discrimination","Yes","Village","State","","","Yes","Yes","Yes","Yes","","","","","Yes",3,3,4,3,3,2,3,3,2,2,3,3,1,NA,"5f3bdc0c-1f87-24dc-27f7-2dec8ad6a7c7","0","1","1",5,"1",1,1,1,6,"Hindu",1
"31","R_dcd2YRQquHiyEHT","1",27,"Hindu","Scheduled castes","Post-graduate","Employed","₹10,00,001 - ₹20,00,000","Never married","None of the above",0,"Yes","Not at all engaged","Yes","No","Right direction","Approve","Extremely liberal","Economic downturn","Yes","","","National","","","","","","Yes","Yes","Yes","Yes","Yes",1,1,3,2,4,1,1,3,4,1,4,2,NA,1,"5f3bd8f8-5315-46d0-e981-86ec717165ec","1","1","1",4,"0",1,0,0.5,7,"Hindu",1
"32","R_2bKtn08CP7BMKTC","0",26,"Hindu","Scheduled castes","Post-graduate","Self-employed/freelance","₹5,00,001 - ₹10,00,000","Never married","None of the above",1,"Yes","Extremely engaged","No","No","Right direction","Disapprove","Liberal","Caste discrimination","Yes","Village","","","","Yes","Yes","Yes","Yes","","","","","Yes",2,2,2,2,2,2,2,2,4,2,2,2,1,NA,"5f3bdbc9-e235-2f81-09e6-022406e07688","1","1","1",3,"0",0,0,0,6,"Hindu",1
"33","R_21nrSNMnBn8G1ny","0",27,"Hindu","Scheduled castes","Graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","Village","","","","","","","","Yes","Yes","Yes","Yes","Yes",4,4,4,4,3,4,4,3,4,4,4,4,NA,1,"5f3bdbbc-d210-0551-9203-ceda635cdfe0","1","1","1",3,"1",1,1,1,7,"Hindu",1
"34","R_29aCyCadmXSFtB9","1",35,"Hindu",NA,"Graduate","Employed","₹20,00,001 - ₹30,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Approve","Slightly liberal","Economic downturn","Yes","","State","","","No","Yes","Yes","No","","","","","Yes",3,3,3,3,3,3,3,3,3,3,3,3,1,NA,"5f3bdb91-0a0e-d254-25a3-7866e9b7cc0a",NA,"1","1",5,"1",1,1,1,5,"Hindu",1
"35","R_38jcomp5IGorgGt","0",20,"Muslim","Scheduled castes","Primary","Student","₹0 - ₹2,50,000","Never married","Aam Aadmi Party (AAP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Slightly liberal","Economic downturn","Yes","","State","","","","","","","Yes","Yes","Yes","Yes","Yes",3,4,4,4,4,3,3,4,3,4,3,2,NA,1,"5f3bdbae-2fb0-f166-a4b6-ed1c9542c287","1","0","0",1,"0",1,1,1,5,"Muslim",1
"36","R_1eCz7LdyuKaRpcL","0",20,"Hindu",NA,"Graduate","Student","₹2,50,001 - ₹5,00,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Conservative","Economic downturn","No","","State","","","","","","","Yes","Yes","No","Yes","Yes",2,4,3,2,3,3,4,4,4,4,4,4,NA,1,"5f3bdbf0-09fd-e4bb-8483-17c8363dd2aa",NA,"1","0",2,"0",1,1,1,2,"Hindu",0
"37","R_2qe00l1YINSrfyG","1",32,"Hindu","Forward castes","Post-graduate","Employed","₹2,50,001 - ₹5,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Slightly conservative","Economic downturn","Yes","Village","State","","","Yes","Yes","Yes","Yes","","","","","Yes",3,4,4,4,3,4,3,3,4,4,4,3,1,NA,"5f3bdbf8-a300-a50b-5eb5-d37439292454","0","1","1",2,"1",1,1,1,3,"Hindu",1
"38","R_O3yiflZDBQ9li49","1",20,"Hindu","Scheduled tribe","Technical diploma not equal to a degree","Self-employed/freelance","₹2,50,001 - ₹5,00,000","Other","Aam Aadmi Party (AAP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","","State","","","","","","","Yes","Yes","Yes","Yes","Yes",3,2,2,3,3,3,3,3,4,4,3,3,NA,1,"5f3bdbc9-be9d-7b73-a1c6-370666aca5ba","1","1","1",2,"0",1,1,1,7,"Hindu",1
"39","R_puVGZKIJSJxunYd","0",25,"Hindu","Forward castes","Graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Moderate; middle of the road","Economic downturn","Yes","","","National","","","","","","Yes","Yes","Yes","Yes","Yes",4,3,3,2,3,3,2,2,2,2,2,2,NA,1,"5f3bdbac-cf48-6e66-21c4-a6ebbc039125","0","1","1",3,"1",1,1,1,4,"Hindu",1
"40","R_2q8Y7N0JvkYsp9G","0",26,"Sikh","Other backward classes (OBCs)","Technical diploma not equal to a degree","Self-employed/freelance","₹2,50,001 - ₹5,00,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Liberal","Economic downturn","Yes","","State","","","","","","","Yes","No","No","No","Yes",4,2,3,2,2,1,2,3,2,2,2,4,NA,1,"5f3bdc7a-58fe-2864-61a2-390bb1c2ead3","1","1","1",2,"0",1,1,1,6,"Other",1
"41","R_3CNkFYkNu2i8wgP","1",32,"Hindu","Other backward classes (OBCs)","Graduate","Employed","₹40,00,001 - ₹50,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely conservative","Economic inequality","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",4,4,4,3,4,4,4,4,4,4,3,4,NA,1,"5f3bdb7d-c281-3edb-e190-cdca92b2b910","1","1","1",7,"1",1,1,1,1,"Hindu",1
"42","R_0GSNVUztO1WITeh","1",38,"Hindu","Forward castes","Post-graduate","Employed","₹20,00,001 - ₹30,00,000","Currently married","Aam Aadmi Party (AAP)",1,"Yes","Somewhat engaged","Yes","Yes","Right direction","Disapprove","Slightly conservative","Economic downturn","Yes","","","National","","","","","","Yes","Yes","Yes","Yes","Yes",4,3,3,2,4,4,2,3,3,3,3,3,NA,1,"5f3bdb94-41a8-575e-1216-9b78a9be466c","0","1","1",5,"1",1,1,1,3,"Hindu",1
"43","R_1IhhbH4UDWzOw66","1",32,"Hindu","Forward castes","Middle","Student","₹2,50,001 - ₹5,00,000","Divorced","Indian National Congress (INC)",1,"No","Not at all engaged","Yes","Yes","Right direction","Disapprove","Conservative","Economic inequality","No","","State","","","Yes","Yes","Yes","Yes","","","","","No",4,3,2,2,3,2,3,2,4,4,4,3,1,NA,"5f3bdbd3-c624-f12c-8b7b-271c129baff7","0","0","0",2,"0",1,1,1,2,"Hindu",0
"44","R_2OPjj25b9zVyww2","1",25,"Hindu","Forward castes","Post-graduate","Employed","₹30,00,001 - ₹40,00,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Liberal","Economic inequality","Yes","","","National","","Yes","Yes","Yes","Yes","","","","","Yes",1,3,2,4,2,3,4,2,2,4,1,NA,1,NA,"5f3bdbd9-89f9-d570-7079-9c4ff1693af8","0","1","1",6,"0",1,1,1,6,"Hindu",1
"45","R_2PpXnocANtrpNz2","1",30,"Hindu","Forward castes","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","Village","State","National","","Yes","Yes","Yes","Yes","","","","","Yes",4,4,4,4,4,4,4,4,4,4,3,4,1,NA,"5f3bdc25-7c86-f5b8-769c-e91ee5e2341a","0","1","1",3,"1",1,1,1,7,"Hindu",1
"46","R_2dBis7KywZgftFX","0",18,"Hindu",NA,"Graduate","Employed","More than ₹50,00,000","Never married","Indian National Congress (INC)",0,"Yes","Not at all engaged","Yes","No","Right direction","Disapprove","Slightly liberal","Caste discrimination","No","","State","","","","","","","No","No","Yes","No","No",3,2,4,3,4,2,2,2,4,2,2,4,NA,1,"5f3bdbaf-79df-f50e-d8af-8d8e9660ed17",NA,"1","1",8,"0",1,0,0.5,5,"Hindu",0
"47","R_3RfIsPSkwm0VsfJ","0",22,"Hindu","Other backward classes (OBCs)","Graduate","Employed","₹0 - ₹2,50,000","Other","Bharatiya Janata Party (BJP)",1,"Yes","Not at all engaged","Yes","No","Right direction","Approve","Haven't thought much about this","Economic downturn","Yes","","State","","","","","","","Yes","Yes","Yes","Yes","Yes",3,1,2,1,1,4,4,1,4,1,4,3,NA,1,"5f3bdbb9-4cc1-c7e9-af01-710e58adbb23","1","1","1",1,"0",1,0,0.5,NA,"Hindu",1
"48","R_3Rdss0oap6X6VKi","1",27,"Hindu","Forward castes","Technical diploma not equal to a degree","Employed","₹0 - ₹2,50,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Somewhat engaged","No","No","Right direction","Disapprove","Conservative","Economic inequality","Yes","","","National","","Yes","No","Yes","No","","","","","No",2,3,3,3,3,3,2,3,2,3,3,3,1,NA,"5f3bdc5b-883c-7c73-4322-fd83c76f4225","0","1","1",1,"0",0,0,0,2,"Hindu",1
"49","R_6zJjjmiv8UI94ml","1",29,"Hindu","Other backward classes (OBCs)","Graduate","Employed","₹2,50,001 - ₹5,00,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Liberal","Economic inequality","Yes","Village","State","National","","","","","","Yes","Yes","Yes","Yes","Yes",3,3,2,2,2,4,3,2,2,3,3,2,NA,1,"5f3bd905-a5a2-ea16-bf99-0bf1671330b7","1","1","1",2,"1",1,1,1,6,"Hindu",1
"50","R_pxR7vmTPBQM4ngl","0",29,"Hindu","Forward castes","Post-graduate","Employed","₹20,00,001 - ₹30,00,000","Never married","Aam Aadmi Party (AAP)",1,"Yes","Extremely engaged","Yes","Yes","Right direction","Approve","Extremely liberal","Economic downturn","Yes","Village","State","National","","Yes","Yes","Yes","Yes","","","","","Yes",1,1,1,1,1,2,1,3,1,1,3,1,1,NA,"5f3bdc35-677b-1299-1977-57f716ebe3e0","0","1","1",5,"0",1,1,1,7,"Hindu",1
"51","R_Y4ilspE2R3jtuQV","0",23,"Hindu","Forward castes","Post-graduate","Employed","₹5,00,001 - ₹10,00,000","Never married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","No","Right direction","Approve","Liberal","Economic downturn","Yes","","State","National","","Yes","Yes","Yes","No","","","","","Yes",4,1,3,1,1,2,4,3,1,4,3,2,1,NA,"5f3bdba2-1797-8f17-2f89-d1e8241dcd67","0","1","1",3,"0",1,0,0.5,6,"Hindu",1
"52","R_2QuO7voIPvHbdBj","1",36,"Hindu","Scheduled castes","Graduate","Homemaker","₹0 - ₹2,50,000","Currently married","Bharatiya Janata Party (BJP)",1,"Yes","Extremely engaged","Yes","No","Right direction","Approve","Extremely liberal","Economic downturn","Yes","Village","","National","","","","","","Yes","Yes","Yes","Yes","Yes",3,2,4,2,2,3,4,4,4,4,4,2,NA,1,"5f3bdb8c-b1cb-f860-5bef-15f187763723","1","1","1",1,"1",1,0,0.5,7,"Hindu",1
